Sno,lang,title,url,lang_small
71,BlooP,BlooP and FlooP,https://en.wikipedia.org/wiki/BlooP_and_FlooP,bloop
72,Boo,Boo (programming language),https://en.wikipedia.org/wiki/Boo_(programming_language),boo
73,Boomerang,Boomerang (programming language),https://en.wikipedia.org/wiki/Boomerang_(programming_language),boomerang
74,Bourne shell,Bourne shell,https://en.wikipedia.org/wiki/Bourne_shell,bourne shell
75,bash,Bash (Unix shell),https://en.wikipedia.org/wiki/Bash_(Unix_shell),bash
76,ksh,Korn shell,https://en.wikipedia.org/wiki/Korn_shell,ksh
77,BPEL,Business Process Execution Language,https://en.wikipedia.org/wiki/Business_Process_Execution_Language,bpel
78,Business Basic,Business Basic,https://en.wikipedia.org/wiki/Business_Basic,business basic
79,C,C (programming language),https://en.wikipedia.org/wiki/C_(programming_language),c
80,C--,C--,https://en.wikipedia.org/wiki/C--,c--
81,C++,C++,https://en.wikipedia.org/wiki/C%2B%2B,c++
82,C#,C Sharp (programming language),https://en.wikipedia.org/wiki/C_Sharp_(programming_language),c#
83,C/AL,C/AL,https://en.wikipedia.org/wiki/C/AL,c/al
84,Caché ObjectScript,Caché ObjectScript,https://en.wikipedia.org/wiki/Cach%C3%A9_ObjectScript,caché objectscript
85,C Shell (csh),C Shell,https://en.wikipedia.org/wiki/C_Shell,c shell (csh)
86,Caml,Caml,https://en.wikipedia.org/wiki/Caml,caml
87,Calcpad,,https://en.wikipedia.orghttps://calcpad.blog/the-calcpad-language,calcpad
88,Cayenne,Cayenne (programming language),https://en.wikipedia.org/wiki/Cayenne_(programming_language),cayenne
89,CDuce,CDuce,https://en.wikipedia.org/wiki/CDuce,cduce
90,Cecil,Cecil (programming language),https://en.wikipedia.org/wiki/Cecil_(programming_language),cecil
91,Cesil,Cesil,https://en.wikipedia.org/wiki/Cesil,cesil
92,Céu,Céu (programming language),https://en.wikipedia.org/wiki/C%C3%A9u_(programming_language),céu
93,Ceylon,Ceylon (programming language),https://en.wikipedia.org/wiki/Ceylon_(programming_language),ceylon
94,CFEngine,CFEngine,https://en.wikipedia.org/wiki/CFEngine,cfengine
95,Cg,Cg (programming language),https://en.wikipedia.org/wiki/Cg_(programming_language),cg
96,Ch,Ch (computer programming),https://en.wikipedia.org/wiki/Ch_(computer_programming),ch
97,Chapel,Chapel (programming language),https://en.wikipedia.org/wiki/Chapel_(programming_language),chapel
98,Charity,Charity (programming language),https://en.wikipedia.org/wiki/Charity_(programming_language),charity
99,Charm,Charm (language),https://en.wikipedia.org/wiki/Charm_(language),charm
100,CHILL,CHILL,https://en.wikipedia.org/wiki/CHILL,chill
101,CHIP-8,CHIP-8,https://en.wikipedia.org/wiki/CHIP-8,chip-8
102,chomski,Chomski,https://en.wikipedia.org/wiki/Chomski,chomski
103,ChucK,ChucK,https://en.wikipedia.org/wiki/ChucK,chuck
104,Cilk,Cilk,https://en.wikipedia.org/wiki/Cilk,cilk
105,Citrine,Citrine (programming language),https://en.wikipedia.org/wiki/Citrine_(programming_language),citrine
106,CL,AS/400 Control Language,https://en.wikipedia.org/wiki/AS/400_Control_Language,cl
107,Claire,Claire (programming language),https://en.wikipedia.org/wiki/Claire_(programming_language),claire
108,Clarion,Clarion (programming language),https://en.wikipedia.org/wiki/Clarion_(programming_language),clarion
109,Clean,Clean (programming language),https://en.wikipedia.org/wiki/Clean_(programming_language),clean
110,Clipper,Clipper (programming language),https://en.wikipedia.org/wiki/Clipper_(programming_language),clipper
111,CLIPS,CLIPS (programming language),https://en.wikipedia.org/wiki/CLIPS_(programming_language),clips
112,CLIST,CLIST,https://en.wikipedia.org/wiki/CLIST,clist
113,Clojure,Clojure,https://en.wikipedia.org/wiki/Clojure,clojure
114,CLU,CLU (programming language),https://en.wikipedia.org/wiki/CLU_(programming_language),clu
115,CMS-2,CMS-2 (programming language),https://en.wikipedia.org/wiki/CMS-2_(programming_language),cms-2
116,COBOL,COBOL,https://en.wikipedia.org/wiki/COBOL,cobol
117,CobolScript,CobolScript,https://en.wikipedia.org/wiki/CobolScript,cobolscript
118,Cobra,Cobra (programming language),https://en.wikipedia.org/wiki/Cobra_(programming_language),cobra
119,CoffeeScript,CoffeeScript,https://en.wikipedia.org/wiki/CoffeeScript,coffeescript
120,ColdFusion,ColdFusion,https://en.wikipedia.org/wiki/ColdFusion,coldfusion
121,COMAL,COMAL,https://en.wikipedia.org/wiki/COMAL,comal
122,Combined Programming Language,Combined Programming Language,https://en.wikipedia.org/wiki/Combined_Programming_Language,combined programming language
123,COMIT,COMIT,https://en.wikipedia.org/wiki/COMIT,comit
124,Common Intermediate Language,Common Intermediate Language,https://en.wikipedia.org/wiki/Common_Intermediate_Language,common intermediate language
125,Common Lisp,Common Lisp,https://en.wikipedia.org/wiki/Common_Lisp,common lisp
126,COMPASS,COMPASS,https://en.wikipedia.org/wiki/COMPASS,compass
127,Component Pascal,Component Pascal,https://en.wikipedia.org/wiki/Component_Pascal,component pascal
128,Constraint Handling Rules,Constraint Handling Rules,https://en.wikipedia.org/wiki/Constraint_Handling_Rules,constraint handling rules
129,COMTRAN,COMTRAN,https://en.wikipedia.org/wiki/COMTRAN,comtran
130,Converge,Converge (programming language),https://en.wikipedia.org/wiki/Converge_(programming_language),converge
131,Cool,Cool (programming language),https://en.wikipedia.org/wiki/Cool_(programming_language),cool
132,Coq,Coq,https://en.wikipedia.org/wiki/Coq,coq
133,Coral 66,Coral 66,https://en.wikipedia.org/wiki/Coral_66,coral 66
134,CorVision,CorVision,https://en.wikipedia.org/wiki/CorVision,corvision
135,COWSEL,COWSEL,https://en.wikipedia.org/wiki/COWSEL,cowsel
136,CPL,CPL (programming language),https://en.wikipedia.org/wiki/CPL_(programming_language),cpl
137,Cryptol,Cryptol,https://en.wikipedia.org/wiki/Cryptol,cryptol
138,Crystal,Crystal (programming language),https://en.wikipedia.org/wiki/Crystal_(programming_language),crystal
139,Csound,Csound,https://en.wikipedia.org/wiki/Csound,csound
140,CSP,Communicating sequential processes,https://en.wikipedia.org/wiki/Communicating_sequential_processes,csp
141,CUDA,CUDA,https://en.wikipedia.org/wiki/CUDA,cuda
142,Cuneiform,Cuneiform (programming language),https://en.wikipedia.org/wiki/Cuneiform_(programming_language),cuneiform
143,Curl,Curl (programming language),https://en.wikipedia.org/wiki/Curl_(programming_language),curl
144,Curry,Curry (programming language),https://en.wikipedia.org/wiki/Curry_(programming_language),curry
145,Cybil,Cybil (programming language),https://en.wikipedia.org/wiki/Cybil_(programming_language),cybil
146,Cyclone,Cyclone (programming language),https://en.wikipedia.org/wiki/Cyclone_(programming_language),cyclone
147,Cython,Cython,https://en.wikipedia.org/wiki/Cython,cython
148,D,D (programming language),https://en.wikipedia.org/wiki/D_(programming_language),d
149,DASL,Datapoint's Advanced Systems Language,https://en.wikipedia.org/wiki/Datapoint%27s_Advanced_Systems_Language,dasl
150,Dart,Dart (programming language),https://en.wikipedia.org/wiki/Dart_(programming_language),dart
151,Darwin,Darwin (programming language),https://en.wikipedia.org/wiki/Darwin_(programming_language),darwin
152,DataFlex,DataFlex,https://en.wikipedia.org/wiki/DataFlex,dataflex
153,Datalog,Datalog,https://en.wikipedia.org/wiki/Datalog,datalog
154,DATATRIEVE,DATATRIEVE,https://en.wikipedia.org/wiki/DATATRIEVE,datatrieve
155,dBase,DBase,https://en.wikipedia.org/wiki/DBase,dbase
156,dc,Dc (computer program),https://en.wikipedia.org/wiki/Dc_(computer_program),dc
157,DCL,DIGITAL Command Language,https://en.wikipedia.org/wiki/DIGITAL_Command_Language,dcl
158,Delphi,Delphi (programming language),https://en.wikipedia.org/wiki/Delphi_(programming_language),delphi
159,DinkC,Dink Smallwood,https://en.wikipedia.org/wiki/Dink_Smallwood#Modification,dinkc
160,DIBOL,DIBOL,https://en.wikipedia.org/wiki/DIBOL,dibol
161,Dog,Dog (programming language),https://en.wikipedia.org/wiki/Dog_(programming_language),dog
162,Draco,Draco (programming language),https://en.wikipedia.org/wiki/Draco_(programming_language),draco
163,DRAKON,DRAKON,https://en.wikipedia.org/wiki/DRAKON,drakon
164,Dylan,Dylan (programming language),https://en.wikipedia.org/wiki/Dylan_(programming_language),dylan
165,DYNAMO,DYNAMO (programming language),https://en.wikipedia.org/wiki/DYNAMO_(programming_language),dynamo
166,DAX (Data Analysis Expressions),Data analysis expressions,https://en.wikipedia.org/wiki/Data_analysis_expressions,dax (data analysis expressions)
167,E,E (programming language),https://en.wikipedia.org/wiki/E_(programming_language),e
168,Ease,Ease (programming language),https://en.wikipedia.org/wiki/Ease_(programming_language),ease
169,Easy PL/I,PL/I,https://en.wikipedia.org/wiki/PL/I,easy pl/i
170,EASYTRIEVE PLUS,Easytrieve,https://en.wikipedia.org/wiki/Easytrieve,easytrieve plus
171,eC,EC (programming language),https://en.wikipedia.org/wiki/EC_(programming_language),ec
172,ECMAScript,ECMAScript,https://en.wikipedia.org/wiki/ECMAScript,ecmascript
173,Edinburgh IMP,Edinburgh IMP,https://en.wikipedia.org/wiki/Edinburgh_IMP,edinburgh imp
174,EGL,EGL (programming language),https://en.wikipedia.org/wiki/EGL_(programming_language),egl
175,Eiffel,Eiffel (programming language),https://en.wikipedia.org/wiki/Eiffel_(programming_language),eiffel
176,ELAN,ELAN (programming language),https://en.wikipedia.org/wiki/ELAN_(programming_language),elan
177,Elixir,Elixir (programming language),https://en.wikipedia.org/wiki/Elixir_(programming_language),elixir
178,Elm,Elm (programming language),https://en.wikipedia.org/wiki/Elm_(programming_language),elm
179,Emacs Lisp,Emacs Lisp,https://en.wikipedia.org/wiki/Emacs_Lisp,emacs lisp
180,Emerald,Emerald (programming language),https://en.wikipedia.org/wiki/Emerald_(programming_language),emerald
181,Epigram,Epigram (programming language),https://en.wikipedia.org/wiki/Epigram_(programming_language),epigram
182,EPL (Easy Programming Language),Easy Programming Language,https://en.wikipedia.org/wiki/Easy_Programming_Language,epl (easy programming language)
183,EPL (Eltron Programming Language),Eltron Programming Language,https://en.wikipedia.org/wiki/Eltron_Programming_Language,epl (eltron programming language)
184,Erlang,Erlang (programming language),https://en.wikipedia.org/wiki/Erlang_(programming_language),erlang
185,es,Es (Unix shell),https://en.wikipedia.org/wiki/Es_(Unix_shell),es
186,Escher,Escher (programming language),https://en.wikipedia.org/wiki/Escher_(programming_language),escher
187,ESPOL,Executive Systems Problem Oriented Language,https://en.wikipedia.org/wiki/Executive_Systems_Problem_Oriented_Language,espol
188,Esterel,Esterel,https://en.wikipedia.org/wiki/Esterel,esterel
189,Etoys,Etoys (programming language),https://en.wikipedia.org/wiki/Etoys_(programming_language),etoys
190,Euclid,Euclid (programming language),https://en.wikipedia.org/wiki/Euclid_(programming_language),euclid
191,Euler,Euler (programming language),https://en.wikipedia.org/wiki/Euler_(programming_language),euler
192,Euphoria,Euphoria (programming language),https://en.wikipedia.org/wiki/Euphoria_(programming_language),euphoria
193,EusLisp Robot Programming Language,EusLisp Robot Programming Language,https://en.wikipedia.org/wiki/EusLisp_Robot_Programming_Language,euslisp robot programming language
194,CMS EXEC,CMS EXEC,https://en.wikipedia.org/wiki/CMS_EXEC,cms exec
195,EXEC 2,EXEC 2,https://en.wikipedia.org/wiki/EXEC_2,exec 2
196,Executable UML,Executable UML,https://en.wikipedia.org/wiki/Executable_UML,executable uml
197,F,F (programming language),https://en.wikipedia.org/wiki/F_(programming_language),f
198,F#,F Sharp (programming language),https://en.wikipedia.org/wiki/F_Sharp_(programming_language),f#
199,F*,F* (programming language),https://en.wikipedia.org/wiki/F*_(programming_language),f*
200,Factor,Factor (programming language),https://en.wikipedia.org/wiki/Factor_(programming_language),factor
201,Falcon,Falcon (programming language),https://en.wikipedia.org/wiki/Falcon_(programming_language),falcon
202,Fantom,Fantom (programming language),https://en.wikipedia.org/wiki/Fantom_(programming_language),fantom
203,FAUST,FAUST (programming language),https://en.wikipedia.org/wiki/FAUST_(programming_language),faust
204,FFP,FFP (programming language),https://en.wikipedia.org/wiki/FFP_(programming_language),ffp
205,Fjölnir,Fjölnir (programming language),https://en.wikipedia.org/wiki/Fj%C3%B6lnir_(programming_language),fjölnir
206,FL,FL (programming language),https://en.wikipedia.org/wiki/FL_(programming_language),fl
207,Flavors,Flavors (programming language),https://en.wikipedia.org/wiki/Flavors_(programming_language),flavors
208,Flex,Flex (language),https://en.wikipedia.org/wiki/Flex_(language),flex
209,FlooP,BlooP and FlooP,https://en.wikipedia.org/wiki/BlooP_and_FlooP,floop
210,FLOW-MATIC,FLOW-MATIC,https://en.wikipedia.org/wiki/FLOW-MATIC,flow-matic
211,FOCAL,FOCAL (programming language),https://en.wikipedia.org/wiki/FOCAL_(programming_language),focal
212,FOCUS,FOCUS,https://en.wikipedia.org/wiki/FOCUS,focus
213,FOIL,FOIL (programming language),https://en.wikipedia.org/wiki/FOIL_(programming_language),foil
214,FORMAC,FORMAC (programming language),https://en.wikipedia.org/wiki/FORMAC_(programming_language),formac
215,@Formula,Formula language,https://en.wikipedia.org/wiki/Formula_language,@formula
216,Forth,Forth (programming language),https://en.wikipedia.org/wiki/Forth_(programming_language),forth
217,Fortran,Fortran,https://en.wikipedia.org/wiki/Fortran,fortran
218,Fortress,Fortress (programming language),https://en.wikipedia.org/wiki/Fortress_(programming_language),fortress
219,FoxBase,FoxBase,https://en.wikipedia.org/wiki/FoxBase,foxbase
220,FoxPro,FoxPro,https://en.wikipedia.org/wiki/FoxPro,foxpro
221,FP,FP (programming language),https://en.wikipedia.org/wiki/FP_(programming_language),fp
222,Franz Lisp,Franz Lisp,https://en.wikipedia.org/wiki/Franz_Lisp,franz lisp
223,Frege,Frege (programming language),https://en.wikipedia.org/wiki/Frege_(programming_language),frege
224,F-Script,F-Script (programming language),https://en.wikipedia.org/wiki/F-Script_(programming_language),f-script
225,Graphical G Programming Language,Graphical G Programming Language (page does not exist),https://en.wikipedia.org/w/index.php?title=Graphical_G_Programming_Language&action=edit&redlink=1,graphical g programming language
226,G,G (programming language),https://en.wikipedia.org/wiki/G_(programming_language),g
227,Game Maker Language,Game Maker Language,https://en.wikipedia.org/wiki/Game_Maker_Language,game maker language
228,GameMonkey Script,GameMonkey Script,https://en.wikipedia.org/wiki/GameMonkey_Script,gamemonkey script
229,GAMS,General Algebraic Modeling System,https://en.wikipedia.org/wiki/General_Algebraic_Modeling_System,gams
230,GAP,GAP computer algebra system,https://en.wikipedia.org/wiki/GAP_computer_algebra_system,gap
231,G-code,G-code,https://en.wikipedia.org/wiki/G-code,g-code
232,GDScript,GDScript,https://en.wikipedia.org/wiki/GDScript,gdscript
233,Genie,Genie (programming language),https://en.wikipedia.org/wiki/Genie_(programming_language),genie
234,GDL,Geometric Description Language,https://en.wikipedia.org/wiki/Geometric_Description_Language,gdl
235,GJ,Generic Java,https://en.wikipedia.org/wiki/Generic_Java,gj
236,GEORGE,GEORGE (programming language),https://en.wikipedia.org/wiki/GEORGE_(programming_language),george
237,GLSL,GLSL,https://en.wikipedia.org/wiki/GLSL,glsl
238,GNU E,GNU E,https://en.wikipedia.org/wiki/GNU_E,gnu e
239,GM,Golden master,https://en.wikipedia.org/wiki/Golden_master,gm
240,Go,Go (programming language),https://en.wikipedia.org/wiki/Go_(programming_language),go
241,Go!,Go! (programming language),https://en.wikipedia.org/wiki/Go!_(programming_language),go!
242,GOAL,Game Oriented Assembly Lisp,https://en.wikipedia.org/wiki/Game_Oriented_Assembly_Lisp,goal
243,Gödel,Gödel (programming language),https://en.wikipedia.org/wiki/G%C3%B6del_(programming_language),gödel
244,Golo,Golo (programming language),https://en.wikipedia.org/wiki/Golo_(programming_language),golo
245,GOM (Good Old Mad),MAD (programming language),https://en.wikipedia.org/wiki/MAD_(programming_language),gom (good old mad)
246,Google Apps Script,Google Apps Script,https://en.wikipedia.org/wiki/Google_Apps_Script,google apps script
247,Gosu,Gosu (programming language),https://en.wikipedia.org/wiki/Gosu_(programming_language),gosu
248,GOTRAN,IBM 1620,https://en.wikipedia.org/wiki/IBM_1620#GOTRAN,gotran
249,GPSS,GPSS,https://en.wikipedia.org/wiki/GPSS,gpss
250,GraphTalk,Computer Sciences Corporation,https://en.wikipedia.org/wiki/Computer_Sciences_Corporation,graphtalk
251,GRASS,GRASS (programming language),https://en.wikipedia.org/wiki/GRASS_(programming_language),grass
252,Groovy,Groovy (programming language),https://en.wikipedia.org/wiki/Groovy_(programming_language),groovy
253,Hack,Hack (programming language),https://en.wikipedia.org/wiki/Hack_(programming_language),hack
254,HAGGIS,HAGGIS,https://en.wikipedia.org/wiki/HAGGIS,haggis
255,HAL/S,HAL/S,https://en.wikipedia.org/wiki/HAL/S,hal/s
256,Halide (programming language),Halide (programming language),https://en.wikipedia.org/wiki/Halide_(programming_language),halide (programming language)
257,Hamilton C shell,Hamilton C shell,https://en.wikipedia.org/wiki/Hamilton_C_shell,hamilton c shell
258,Harbour,Harbour (software),https://en.wikipedia.org/wiki/Harbour_(software),harbour
259,Hartmann pipelines,Hartmann pipeline,https://en.wikipedia.org/wiki/Hartmann_pipeline,hartmann pipelines
260,Haskell,Haskell (programming language),https://en.wikipedia.org/wiki/Haskell_(programming_language),haskell
261,Haxe,Haxe,https://en.wikipedia.org/wiki/Haxe,haxe
262,Hermes,Hermes (programming language),https://en.wikipedia.org/wiki/Hermes_(programming_language),hermes
263,High Level Assembly,High Level Assembly,https://en.wikipedia.org/wiki/High_Level_Assembly,high level assembly
264,HLSL,High Level Shader Language,https://en.wikipedia.org/wiki/High_Level_Shader_Language,hlsl
265,Hop,Hop (software),https://en.wikipedia.org/wiki/Hop_(software),hop
266,Hopscotch,Hopscotch (programming language),https://en.wikipedia.org/wiki/Hopscotch_(programming_language),hopscotch
267,Hope,Hope (programming language),https://en.wikipedia.org/wiki/Hope_(programming_language),hope
268,Hugo,Hugo (programming language),https://en.wikipedia.org/wiki/Hugo_(programming_language),hugo
269,Hume,Hume (language),https://en.wikipedia.org/wiki/Hume_(language),hume
270,HyperTalk,HyperTalk,https://en.wikipedia.org/wiki/HyperTalk,hypertalk
271,Hexa,Hexa,https://en.wikipedia.org/wiki/Hexa,hexa
272,Io,Io (programming language),https://en.wikipedia.org/wiki/Io_(programming_language),io
273,Icon (programming language),Icon (programming language),https://en.wikipedia.org/wiki/Icon_(programming_language),icon (programming language)
274,IBM Basic assembly language,IBM Basic assembly language,https://en.wikipedia.org/wiki/IBM_Basic_assembly_language,ibm basic assembly language
275,IBM BASICA,IBM BASICA,https://en.wikipedia.org/wiki/IBM_BASICA,ibm basica
276,IBM HAScript,IBM HAScript,https://en.wikipedia.org/wiki/IBM_HAScript,ibm hascript
277,IBM Informix-4GL,IBM Informix-4GL,https://en.wikipedia.org/wiki/IBM_Informix-4GL,ibm informix-4gl
278,IBM RPG,IBM RPG,https://en.wikipedia.org/wiki/IBM_RPG,ibm rpg
279,IDL,IDL (programming language),https://en.wikipedia.org/wiki/IDL_(programming_language),idl
280,J,J (programming language),https://en.wikipedia.org/wiki/J_(programming_language),j
281,J#,J Sharp,https://en.wikipedia.org/wiki/J_Sharp,j#
282,J++,Visual J++,https://en.wikipedia.org/wiki/Visual_J%2B%2B,j++
283,JADE,JADE (programming language),https://en.wikipedia.org/wiki/JADE_(programming_language),jade
284,JAL,JAL (compiler),https://en.wikipedia.org/wiki/JAL_(compiler),jal
285,Janus (concurrent constraint programming language),Janus (concurrent constraint programming language),https://en.wikipedia.org/wiki/Janus_(concurrent_constraint_programming_language),janus (concurrent constraint programming language)
286,Janus (time-reversible computing programming language),Janus (time-reversible computing programming language),https://en.wikipedia.org/wiki/Janus_(time-reversible_computing_programming_language),janus (time-reversible computing programming language)
287,JASS,JASS,https://en.wikipedia.org/wiki/JASS,jass
288,Java,Java (programming language),https://en.wikipedia.org/wiki/Java_(programming_language),java
289,JavaScript,JavaScript,https://en.wikipedia.org/wiki/JavaScript,javascript
290,JCL,Job Control Language,https://en.wikipedia.org/wiki/Job_Control_Language,jcl
291,JEAN,JEAN,https://en.wikipedia.org/wiki/JEAN,jean
292,Join Java,Join Java,https://en.wikipedia.org/wiki/Join_Java,join java
293,JOSS,JOSS,https://en.wikipedia.org/wiki/JOSS,joss
294,Joule,Joule (programming language),https://en.wikipedia.org/wiki/Joule_(programming_language),joule
295,JOVIAL,JOVIAL,https://en.wikipedia.org/wiki/JOVIAL,jovial
296,Joy,Joy (programming language),https://en.wikipedia.org/wiki/Joy_(programming_language),joy
297,JScript,JScript,https://en.wikipedia.org/wiki/JScript,jscript
298,JScript .NET,JScript .NET,https://en.wikipedia.org/wiki/JScript_.NET,jscript .net
299,JavaFX Script,JavaFX Script,https://en.wikipedia.org/wiki/JavaFX_Script,javafx script
300,jq,Jq (programming language),https://en.wikipedia.org/wiki/Jq_(programming_language),jq
301,Julia,Julia (programming language),https://en.wikipedia.org/wiki/Julia_(programming_language),julia
302,Jython,Jython,https://en.wikipedia.org/wiki/Jython,jython
303,K,K (programming language),https://en.wikipedia.org/wiki/K_(programming_language),k
304,Kaleidoscope,Kaleidoscope (programming language),https://en.wikipedia.org/wiki/Kaleidoscope_(programming_language),kaleidoscope
305,Karel,Karel (programming language),https://en.wikipedia.org/wiki/Karel_(programming_language),karel
306,Karel++,Karel++,https://en.wikipedia.org/wiki/Karel%2B%2B,karel++
307,KEE,IntelliCorp (Software),https://en.wikipedia.org/wiki/IntelliCorp_(Software),kee
308,Kixtart,KiXtart,https://en.wikipedia.org/wiki/KiXtart,kixtart
309,Klerer-May System,Klerer-May System,https://en.wikipedia.org/wiki/Klerer-May_System,klerer-may system
